symbol,company,sector,source,fiscal_year,status,fcff_2025_m,fcff_2024_m,fcff_2023_m,ebit_m,dna_m,delta_nwc_m,capex_m,roic_nopat_m,ic_current_m,ic_prior_m,avg_ic_m,roic_pct,rf_pct,beta,erp_pct,ke_pct,interest_exp_m,icr,rating,spread_pct,kd_pretax_pct,kd_aftertax_pct,market_cap_b,total_debt_b,equity_weight_pct,debt_weight_pct,wacc_pct
MRSGI,"Metro Retail Stores Group, Inc.",Services,Reuters (MRSGI.PS),Reuters,OK,31.59,70.7375,315.9275,1388.84,1236.55,819.97,1426.62,1041.63,17350.74,16263.64,16807.19,6.197526177784628,7.706,0.36,6.69,10.114400000000002,465.36,2.9844421523121882,Baa2/BBB,1.11,8.816,6.612,3.6,9.17072,28.189483443376723,71.81051655662327,7.599308468120826
MVC,Mabuhay Vinyl Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
MWC,"Manila Water Company, Inc.",Industrial,Yahoo (MWTCY),2025-12-31,OK,46471.5441185,19098.3813275,14339.26960475,23528.06951,5234.184818,-24308.952413,717.645245,17646.0521325,216484.090824,174636.475534,195560.283179,9.023331243772152,7.706,0.717,6.69,12.502730000000001,3161.832916,7.441275404193433,Aa2/AA,0.5499999999999999,8.256,6.192,131.713826185728,132.200959286,49.907710153601045,50.092289846398955,9.341540836976348
MWIDE,Megawide Construction Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
MYNLD,"Maynilad Water Services, Inc.",Industrial,Reuters (MYNLD.PS),Reuters,OK,4622.515,14223.8575,4096.0275,21964.1,595.53,11580.95,865.14,16473.075,199372.18,155957.65,177664.915,9.271991039986707,7.706,558.6,6.69,3744.7400000000002,1879.63,11.685331687619373,Aaa/AAA,0.4,8.106,6.0795,166.6,92.7578,64.23558497180343,35.76441502819657,2407.6299422847515
NI,NiHAO Mineral Resources International,Mining and Oil,Reuters (NI.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,-0.01,6.69,7.6391,1.01,,,,,,0.4949,,100.0,,7.6391
NIKL,Nickel Asia Corporation,Mining and Oil,Yahoo (NCKAF),2025-12-31,PARTIAL,7202.3005,-1579.71375,2453.00175,11605.89,2262.347,-4689.358,8453.822,8704.4175,37748.599,34082.538,35915.5685,24.235778141727035,7.706,,6.69,,443.415,26.173877744325292,Aaa/AAA,0.4,8.106,6.0795,85.959217378944,15.604111999999999,84.63607672629622,15.363923273703776,
NOW,Now Corporation,Services,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
NRCP,National Reinsurance Corp. of the Phils.,Financials,Reuters (NRCP.PS),Reuters,OK,789.5325000000001,512.6725,519.6075,1042.39,10.45,0.0,2.71,781.7925000000001,7246.38,6414.73,6830.555,11.445519434365146,7.706,0.83,6.69,13.258700000000001,,,,,,,2.2,,100.0,,13.258700000000001
NXGEN,NextGenesis Corporation,Financials,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
